person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,60000,Rent,2,Education,B,8000,11.26,0,0.13,N,3
40,70000,Mortgage,6,Education,A,18000,7.9,0,0.26,N,14
29,115000,Mortgage,3,Medical,C,22000,15.23,0,0.19,Y,7
26,84996,Rent,0,Medical,B,9000,11.26,0,0.11,N,2
23,54500,Rent,2,Debtconsolidation,A,8000,NULL,0,0.15,N,2
40,44000,Rent,0,Personal,A,6000,NULL,1,0.14,N,12
23,24000,Own,7,Education,A,5000,7.49,0,0.21,N,2
27,56253,Rent,11,Venture,B,10000,11.36,0,0.18,N,8
32,19200,Rent,0,Venture,B,5000,9.99,1,0.26,N,6
24,18000,Own,0,Homeimprovement,A,6250,6.54,1,0.35,N,4
NULL,45000,Own,8,Medical,B,NULL,6.03,0,0.16,N,4
24,54400,Mortgage,8,Debtconsolidation,C,12000,NULL,0,0.22,Y,4
23,80000,Rent,6,Venture,A,6500,7.51,0,0.08,N,3
24,145000,Mortgage,0,Personal,B,7000,10.99,0,0.05,N,2
30,36000,Rent,6,Debtconsolidation,C,4500,13.49,0,0.13,Y,6
22,40000,Rent,6,Education,D,7200,17.58,0,0.18,Y,2
24,103000,Mortgage,8,Personal,B,8000,10.74,0,0.08,N,3
35,50000,Mortgage,5,Homeimprovement,C,6000,13.49,0,0.12,N,6
22,32000,Rent,1,Education,D,5400,16.29,1,0.17,Y,2
29,24000,Mortgage,7,Medical,A,10000,NULL,0,0.42,N,6
29,175000,Mortgage,2,Homeimprovement,A,10000,NULL,0,0.06,N,9
25,12996,Own,1,Medical,D,3600,14.59,1,0.28,N,3
32,48000,Rent,3,Debtconsolidation,C,9000,13.99,0,0.19,N,8
30,57000,Mortgage,6,Personal,A,4000,8,0,0.07,N,7
42,85000,Rent,3,Venture,C,5750,12.99,0,0.07,Y,15
29,120000,Mortgage,3,Education,B,20000,11.71,0,0.17,N,5
24,25000,Mortgage,3,Venture,A,9000,7.14,0,0.36,N,4
34,120000,Rent,NULL,Debtconsolidation,A,2000,NULL,NULL,0.04,N,3
24,28500,Rent,3,Debtconsolidation,B,2500,11.36,0,0.09,N,4
22,80000,Mortgage,5,Venture,B,9500,11.71,0,0.12,N,3
31,30000,Rent,0,Education,D,6600,16.49,1,0.22,Y,8
21,30000,Rent,2,Medical,A,4150,6.76,0,0.14,N,3
31,48996,Mortgage,0,Homeimprovement,D,8500,14.11,1,0.17,Y,9
26,58000,Rent,10,Education,C,9600,13.99,0,0.17,Y,4
25,191000,Mortgage,1,Medical,B,10000,12.53,0,0.05,N,4
26,35000,Rent,10,Education,B,12875,NULL,1,0.37,N,3
31,135000,Mortgage,9,Venture,A,10000,7.14,0,0.07,N,6
24,64000,Mortgage,8,Education,A,5000,7.88,1,0.08,N,4
26,90000,Mortgage,0,Education,B,6000,9.91,0,0.07,N,3
28,150000,Mortgage,12,Education,C,10000,NULL,0,0.07,Y,6
25,110000,Mortgage,7,Education,A,8000,7.14,0,0.07,N,4
28,95000,Mortgage,5,Venture,A,1800,NULL,0,0.07,,4
39,60000,Mortgage,1,Education,C,17000,14.65,0,0.28,Y,14
21,NULL,Rent,1,,A,25000,16.07,0,0.19,Y,3
28,48000,Rent,5,Debtconsolidation,B,15000,11.99,1,0.31,N,10
36,31000,Rent,3,Venture,A,7100,8.9,0,0.23,N,12
22,96000,Mortgage,3,Education,C,11400,13.04,0,0.12,Y,2
21,40000,Rent,3,Education,D,7000,14.46,0,0.17,N,3
25,56950,Rent,9,Medical,C,5000,13.92,1,0.07,N,4
21,41900,Rent,2,Venture,C,16000,12.84,1,0.38,Y,2
29,101000,Own,6,Homeimprovement,B,12000,12.18,0,0.12,N,8
23,42000,Rent,4,Personal,A,10000,5.42,0,0.24,N,3
31,215000,Mortgage,2,Medical,B,15000,10.99,0,0.07,N,10
26,65000,Mortgage,11,Venture,A,12000,7.9,0,0.18,N,2
24,111239,Mortgage,1,Education,A,14000,7.9,0,0.13,N,4
24,60000,Rent,2,Debtconsolidation,E,25000,NULL,1,0.42,Y,2
30,43000,Rent,1,Medical,A,3200,8,0,0.07,N,5
21,68004,Mortgage,5,Debtconsolidation,B,16000,11.26,0,0.24,N,3
25,25000,Rent,5,Medical,B,9000,11.49,1,0.36,N,2
36,40000,Own,4,Venture,B,14000,10.99,0,0.35,N,16
24,55000,Mortgage,8,Medical,B,15000,9.91,0,0.27,N,3
21,52000,Mortgage,5,Debtconsolidation,A,13250,5.99,0,0.25,N,2
29,50000,Own,3,Medical,B,4200,9.91,0,0.08,N,6
27,12000,Own,0,Education,D,8125,14.42,1,0.68,Y,5
29,35000,Rent,12,Debtconsolidation,A,1800,5.42,0,0.05,N,7
38,104800,Mortgage,6,Homeimprovement,A,14000,6.03,0,0.13,N,11
